id|sub_cat_id|company_name_cn
005-018-441|005-018|利康中西藥房(奧海)
005-018-442|005-018|信昌中西藥房
005-018-443|005-018|信興藥房
005-018-444|005-018|康福中西大藥房
005-018-445|005-018|藝海參茸西藥房
005-018-446|005-018|萬事達西藥房
005-018-447|005-018|康健西藥房
005-018-448|005-018|銘森大藥房
005-018-449|005-018|長春正行中西藥房
005-018-450|005-018|正安中西藥房
005-018-451|005-018|金英化粧藥房
005-018-452|005-018|建業中西大藥房
005-018-453|005-018|銓豐大藥房
005-018-454|005-018|萬藥坊中西大藥房
005-018-455|005-018|冠生中西大藥房
005-018-456|005-018|忠誠大藥房
005-018-457|005-018|建樂大藥房
005-018-458|005-018|恒誠大藥房化粧品
005-018-459|005-018|榮華參茸中西藥房
005-018-460|005-018|佐敦大藥房
005-018-461|005-018|信誠有利藥房
005-018-462|005-018|信德中西藥房
005-018-463|005-018|奧新藥房
005-018-464|005-018|龍豐
005-018-465|005-018|威峯大藥房
005-018-466|005-018|仁心中西藥房
005-018-467|005-018|金寶大藥房
005-018-468|005-018|西環中西大藥房
005-018-469|005-018|寶信藥房
005-018-470|005-018|宏基中西藥房
005-018-471|005-018|新寧藥房
005-018-472|005-018|長榮藥房
005-018-473|005-018|榮興藥房
005-018-474|005-018|長泰西藥房
005-018-475|005-018|勝利大藥房
005-018-476|005-018|民生藥房
005-018-477|005-018|新昌大藥房
005-018-478|005-018|富裕中西藥房
005-018-479|005-018|友康寧藥房
005-018-480|005-018|宜安大藥房
005-018-481|005-018|健豐中西藥房
005-018-482|005-018|天力藥房
005-018-483|005-018|海洋中西大藥房
005-018-484|005-018|海昇西藥房
005-018-485|005-018|潮興大藥房
005-018-486|005-018|金星西藥房
005-018-487|005-018|中華中西藥房
005-018-488|005-018|榮興蔘茸中西藥房
005-018-489|005-018|振興中西藥房
005-018-490|005-018|天星藥房
005-018-491|005-018|順明藥房
005-018-492|005-018|義成藥房
005-018-493|005-018|金輪中西參茸大藥房
005-018-494|005-018|國城大藥房
005-018-495|005-018|富明西藥房
005-018-496|005-018|健威大藥房
005-018-497|005-018|恒信大藥房
005-018-498|005-018|嘉利大藥房
005-018-499|005-018|信義大藥房
005-018-500|005-018|誠德大藥房
005-018-501|005-018|卓興大藥房
005-018-502|005-018|泓盛大藥房
005-018-503|005-018|富泰藥房
005-018-504|005-018|嘉寧中西藥房
005-018-505|005-018|德康大藥房
005-018-506|005-018|健盈大藥房
005-018-507|005-018|中國藥房 （柴灣）
005-018-508|005-018|中國藥房（小西灣）
005-018-509|005-018|峻業藥房
005-018-510|005-018|全昌藥房
005-018-511|005-018|卓興西藥房
005-018-512|005-018|富豐大藥房
005-018-513|005-018|僑豐西藥房
005-018-514|005-018|新富強藥房
